recipe_id,step_number,instruction
recipe_1,1,Rinse rice 2–3 times and soak for 15 minutes.
recipe_1,2,Heat oil and add cumin + whole spices.
recipe_1,3,Add onion and sauté until golden.
recipe_1,4,Add ginger-garlic paste and chilli.
recipe_1,5,Add vegetables and cook for 2 minutes.
recipe_1,6,"Add turmeric, garam masala, salt."
recipe_1,7,Add rice and mix gently.
recipe_1,8,Pour water and adjust salt.
recipe_1,9,Pressure cook: 1 whistle + 5 mins low flame.
recipe_1,10,Fluff & garnish with coriander.
recipe_10,1,Prepare ingredients.
recipe_10,2,Cook using standard process.
recipe_10,3,Serve hot.
recipe_11,1,Prepare ingredients.
recipe_11,2,Cook using standard process.
recipe_11,3,Serve hot.
recipe_12,1,Prepare ingredients.
recipe_12,2,Cook using standard process.
recipe_12,3,Serve hot.
recipe_13,1,Prepare ingredients.
recipe_13,2,Cook using standard process.
recipe_13,3,Serve hot.
recipe_14,1,Prepare ingredients.
recipe_14,2,Cook using standard process.
recipe_14,3,Serve hot.
recipe_15,1,Prepare ingredients.
recipe_15,2,Cook using standard process.
recipe_15,3,Serve hot.
recipe_16,1,Prepare ingredients.
recipe_16,2,Cook using standard process.
recipe_16,3,Serve hot.
recipe_17,1,Prepare ingredients.
recipe_17,2,Cook using standard process.
recipe_17,3,Serve hot.
recipe_18,1,Prepare ingredients.
recipe_18,2,Cook using standard process.
recipe_18,3,Serve hot.
recipe_19,1,Prepare ingredients.
recipe_19,2,Cook using standard process.
recipe_19,3,Serve hot.
recipe_2,1,Prepare ingredients.
recipe_2,2,Cook using standard process.
recipe_2,3,Serve hot.
recipe_20,1,Prepare ingredients.
recipe_20,2,Cook using standard process.
recipe_20,3,Serve hot.
recipe_3,1,Prepare ingredients.
recipe_3,2,Cook using standard process.
recipe_3,3,Serve hot.
recipe_4,1,Prepare ingredients.
recipe_4,2,Cook using standard process.
recipe_4,3,Serve hot.
recipe_5,1,Prepare ingredients.
recipe_5,2,Cook using standard process.
recipe_5,3,Serve hot.
recipe_6,1,Prepare ingredients.
recipe_6,2,Cook using standard process.
recipe_6,3,Serve hot.
recipe_7,1,Prepare ingredients.
recipe_7,2,Cook using standard process.
recipe_7,3,Serve hot.
recipe_8,1,Prepare ingredients.
recipe_8,2,Cook using standard process.
recipe_8,3,Serve hot.
recipe_9,1,Prepare ingredients.
recipe_9,2,Cook using standard process.
recipe_9,3,Serve hot.
